number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
0.6376811594202899,0.0,0.5,0.9726027397260274,0.0,0.0,225
0.11594202898550725,1.0,0.0,0.0,0.0,0.0,80
0.7536231884057971,0.4444444444444445,0.0,0.016438356164383564,0.0,0.0,135
0.7536231884057971,0.2222222222222222,0.0,0.057534246575342465,0.25,0.0,99
0.11594202898550725,0.2222222222222222,0.0,0.0,0.25,0.0,299
0.2608695652173913,0.0,0.5,0.23287671232876714,0.25,0.5,60
0.8260869565217391,1.0,0.0,0.2054794520547945,0.0,0.0,150
0.20289855072463767,0.2222222222222222,0.0,0.9452054794520548,0.25,0.0,120
0.34782608695652173,0.6666666666666665,0.0,0.852054794520548,0.25,0.5,120
0.8695652173913044,0.6666666666666665,0.0,0.726027397260274,0.25,0.0,110
0.14492753623188406,0.2222222222222222,0.0,0.0,0.25,0.0,115
0.2608695652173913,0.6666666666666665,0.0,0.7041095890410959,0.0,0.0,200
0.2608695652173913,0.4444444444444445,0.0,0.8246575342465754,0.0,0.5,110
0.5942028985507247,0.1111111111111111,0.0,0.7205479452054795,0.25,0.5,80
0.9420289855072465,0.1111111111111111,0.5,0.6328767123287671,0.0,0.0,250
0.37681159420289856,0.6666666666666665,0.5,0.8,0.25,0.5,55
0.043478260869565216,0.2222222222222222,0.0,0.0,0.25,0.0,225
0.6956521739130436,0.8888888888888888,0.0,0.3178082191780822,0.0,0.0,230
0.3188405797101449,0.6666666666666665,0.0,0.2410958904109589,0.0,0.5,51
0.6956521739130436,0.1111111111111111,0.5,0.9205479452054794,0.0,0.5,65
0.2898550724637681,0.4444444444444445,0.0,0.6136986301369863,0.0,0.0,190
1.0,0.4444444444444445,0.0,0.8986301369863013,0.0,0.0,285
0.21739130434782608,0.5555555555555556,0.0,0.10410958904109589,0.25,0.0,130
0.8695652173913044,0.2222222222222222,0.0,0.7452054794520548,0.25,0.0,105
0.014492753623188406,0.0,0.0,0.0,0.0,0.5,50
0.3333333333333333,0.3333333333333333,0.0,0.8684931506849315,0.25,0.5,65
0.2898550724637681,0.6666666666666665,0.0,0.4328767123287671,0.25,0.0,250
0.0,0.0,0.0,1.0,0.0,0.5,89
0.14492753623188406,0.2222222222222222,1.0,0.6,0.0,0.5,60
0.9710144927536233,0.1111111111111111,0.0,0.8547945205479452,0.0,0.5,65
0.15942028985507245,0.6666666666666665,0.0,0.44931506849315067,0.0,0.0,140
0.5362318840579711,0.4444444444444445,0.0,0.7123287671232876,0.0,0.0,199
0.37681159420289856,0.5555555555555556,0.0,0.5452054794520548,0.0,0.0,235
0.17391304347826086,0.6666666666666665,0.0,0.6136986301369863,0.0,0.0,170
0.34782608695652173,0.3333333333333333,0.0,0.0,0.0,0.0,100
0.11594202898550725,0.1111111111111111,0.0,0.8876712328767123,0.25,0.5,75
0.11594202898550725,0.0,0.0,0.6712328767123288,0.25,0.5,90
0.2898550724637681,0.4444444444444445,0.0,0.5178082191780822,0.0,0.0,150
0.8985507246376813,0.2222222222222222,0.5,0.8493150684931506,0.25,0.5,70
0.4492753623188406,0.2222222222222222,0.0,0.043835616438356165,0.0,0.0,105
0.7101449275362319,0.1111111111111111,1.0,0.6410958904109589,0.0,0.5,130
0.014492753623188406,0.1111111111111111,0.0,0.4876712328767123,0.25,0.5,77
